run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR538171	SAMEA2611385	ERX503381	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538171/ERR538171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538171/ERR538171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538171/AHX_AASOSU_3_1_C2EV3ACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538171/AHX_AASOSU_3_2_C2EV3ACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538171	
ERR538172	SAMEA2591104	ERX503384	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538172/ERR538172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538172/ERR538172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538172/AHX_AAMOSU_7_1_C2FHAACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538172/AHX_AAMOSU_7_2_C2FHAACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538172	
ERR538176	SAMEA2611382	ERX503379	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538176/ERR538176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538176/ERR538176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538176/AHX_AACOSU_1_1_C2FHAACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538176/AHX_AACOSU_1_2_C2FHAACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538176	
ERR538177	SAMEA2611379	ERX503382	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538177/ERR538177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538177/ERR538177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538177/AHX_AANOSU_5_1_C2FHAACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538177/AHX_AANOSU_5_2_C2FHAACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538177	
ERR538178	SAMEA2591116	ERX503390	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538178/ERR538178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538178/ERR538178_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538178/AHX_ABDOSU_1_1_C2FGHACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538178/AHX_ABDOSU_1_2_C2FGHACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538178	
ERR538179	SAMEA2591128	ERX503386	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538179/ERR538179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538179/ERR538179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538179/AHX_AAVOSU_5_1_C2EV3ACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538179/AHX_AAVOSU_5_2_C2EV3ACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538179	
ERR538186	SAMEA2591115	ERX503392	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538186/ERR538186_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538186/ERR538186_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538186/AHX_ABCOSU_8_1_C2EV3ACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538186/AHX_ABCOSU_8_2_C2EV3ACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538186	
ERR538190	SAMEA2591063	ERX503393	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538190/ERR538190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR538/ERR538190/ERR538190_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538190/AHX_AAKOSE_2_1_C2FHAACXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR538/ERR538190/AHX_AAKOSE_2_2_C2FHAACXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR538/ERR538190	
ERR1700889	SAMEA2656965	ERX1771177	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700889/ERR1700889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/009/ERR1700889/ERR1700889_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700889/AHX_AHSAOSF_4_1_D0C2CACXX.IND4_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700889/AHX_AHSAOSF_4_2_D0C2CACXX.IND4_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/009/ERR1700889	
ERR1700890	SAMEA2620205	ERX1771189	PRJEB4352	408172	marine metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700890/ERR1700890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR170/000/ERR1700890/ERR1700890_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700890/AHX_AIGAOSF_6_1_D0AG7ACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR170/ERR1700890/AHX_AIGAOSF_6_2_D0AG7ACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR170/000/ERR1700890	
