local_identifier	row_number	parameter	description	method	pi
tara_barcode_num	1	Sample ID (Sample ID)	TARA_barcode_num	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
biosample_acc_num	2	Sample ID (Sample ID)	BioSamples accession number (SAMEA)	registered at the BioSamples database (URI: http://www.ebi.ac.uk/biosamples/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
ena_acc_num	3	Sample ID (Sample ID)	ENA sample accession number (ERS)	registered at the European Nucleotides Archive (ENA) (URI: http://www.ebi.ac.uk/ena)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_basis	4	Basis of event (Basis)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_campaign	5	Campaign of event (Campaign)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_station	6	Station label (Station)	TARA_event-datetime_station_event-type	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
sampling_device	7	Method/Device of event (Method/Device)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_event	8	Event label (Event)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
date_time	9	Date/Time of event (Date/Time)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
latitude	10	Latitude of event (Latitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
longitude	11	Longitude of event (Longitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
env_ontology	12	Environmental feature (Env feature)	[abbreviation], full name (ENVO:ID) from which this sample was collected	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth	13	Depth, nominal (Depth nominal)	from which this sample was collected	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth_min	14	Depth, top/min [m] (Depth top)	from which this sample was collected	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
