local_identifier	row_number	parameter	description	method	pi
tara_barcode_num	1	Sample ID (Sample ID)	TARA_barcode	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
biosample_acc_num	2	Sample ID (Sample ID)	BioSamples accession number (SAMEA)	registered at the BioSamples database (URI: http://www.ebi.ac.uk/biosamples/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
ena_acc_num	3	Sample ID (Sample ID)	ENA sample accession number (ERS)	registered at the European Nucleotides Archive (ENA) (URI: http://www.ebi.ac.uk/ena)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_basis	4	Basis of event (Basis)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_campaign	5	Campaign of event (Campaign)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_station	6	Station label (Station)	TARA_station	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
sampling_device	7	Method/Device of event (Method/Device)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_event	8	Event label (Event)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
date_time	9	Date/Time of event (Date/Time)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
latitude	10	Latitude of event (Latitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
longitude	11	Longitude of event (Longitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
env_ontology	12	Environmental feature (Env feature)	[abbreviation], full name (ENVO:ID) from which this sample was collected	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth	13	Depth, nominal (Depth nominal)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth_min	14	Depth, top/min [m] (Depth top)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth_max	15	Depth, bottom/max [m] (Depth bot)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_low	16	Size fraction, lower threshold [µm] (Fraction lower)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_high	17	Size fraction, upper threshold [µm] (Fraction upper)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id01	18	Sample material (Samp mat)	NA	TARA_station_environmental-feature_size-fraction	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id02	19	Sample method (Sample method)	short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id03	20	Sample code/label (Sample label)	NA	TARA_event-datetime_station_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875577_021	21	Marine biome (MP biome)	NA	Longhurst (2007) (URI: http://www.sciencedirect.com/science/book/9780124555211)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875577_022	22	Ocean and sea region (OS region)	[abbreviation] full name (MRGID:ID)	IHO General Sea Areas (1953) registered at www.marineregions.org (URI: http://marineregions.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875577_023	23	Biogeographical province (BG province)	[abbreviation] full name (MRGID:ID)	Longhurst (2007) registered at marineregions.org (URI: http://marineregions.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875577_024	24	Sea ice concentration [%] (Sea ice conc)	at the sampling location and date	Calculated from NISDC satellite products	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_025	25	Sea ice free period, start, day of the year [day] (Sea ice free period start DOY)	at the sampling location, sea ice free period is when sea ice cover <10%	Calculated from Takuvik satellite products	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_026	26	Sea Ice free period, duration [days] (Sea Ice free period)	at the sampling location, sea ice free period is when sea ice cover <10%	Calculated from Takuvik satellite products	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_027	27	Sea ice free period, end, day of the year [day] (Sea ice free period end DOY)	at the sampling location, sea ice free period is when sea ice cover <10%	Calculated from Takuvik satellite products	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_028	28	Season (Season)	NA	at the sampling location and date	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_029	29	Season (Season)	NA	at the sampling location and date [early, middle or late]	Speich, Sabrina (https://orcid.org/0000-0002-5452-8287, sabrina.speich@lmd.ens.fr)
PANGAEA.875577_030	30	Moon phase, nominal (Moon phase nominal)	at the sampling location and date	Calculated from Astronomical Applicationsof the U.S. Naval Observatory (URI: http://aa.usno.navy.mil/data/index.php)	Audic, Stephane (stephane.audic@sb-roscoff.fr)
PANGAEA.875577_031	31	Moon phase, proportion (Moon phase proportion)	at the sampling location and date	Calculated from Astronomical Applicationsof the U.S. Naval Observatory (URI: http://aa.usno.navy.mil/data/index.php)	Audic, Stephane (stephane.audic@sb-roscoff.fr)
PANGAEA.875577_032	32	Time of day (Time of day)	at the sampling location, date and time	reported on logsheets or by data curators	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875577_033	33	Sunshine duration [min] (SSD)	at the sampling location and date	Calculated from Astronomical Applicationsof the U.S. Naval Observatory (URI: http://aa.usno.navy.mil/data/index.php)	Audic, Stephane (stephane.audic@sb-roscoff.fr)
PANGAEA.875577_034	34	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	at the sampling location and date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875577_035	35	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	at the sampling location for a period of 8 days around the sampling date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875577_036	36	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_037	37	Radiation, photosynthetically active [mol quanta/m**2/day] (PAR)	at the sampling location for a period of 30 days around the sampling date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875577_038	38	Sea surface temperature gradient, horizontal [°C/100 km] (SST grad h)	at the sampling location for a period of 8 days around the sampling date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875577_039	39	Iron, total [µmol/l] (Fe tot)	mean value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_040	40	Iron, standard deviation [±] (Fe std dev)	standard deviation value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_041	41	Ammonium [µmol/l] ([NH4]+)	mean value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_042	42	Ammonium, standard deviation [±] ([NH4]+ std dev)	standard deviation value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_043	43	Nitrite [µmol/l] ([NO2]-)	mean value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
PANGAEA.875577_044	44	Nitrite, standard deviation [±] ([NO2]- std dev)	standard deviation value at a depth of 5 m at the sampling location and date	Calculated using the Darwin model (URI: http://darwinproject.mit.edu/)	Leconte, Jade (jleconte@genoscope.cns.fr)
