local_identifier	row_number	parameter	description	method	pi
tara_barcode_num	1	Sample ID (Sample ID)	TARA_barcode	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
biosample_acc_num	2	Sample ID (Sample ID)	BioSamples accession number (SAMEA)	registered at the BioSamples database (URI: http://www.ebi.ac.uk/biosamples/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
ena_acc_num	3	Sample ID (Sample ID)	ENA sample accession number (ERS)	registered at the European Nucleotides Archive (ENA) (URI: http://www.ebi.ac.uk/ena)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_basis	4	Basis of event (Basis)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_campaign	5	Campaign of event (Campaign)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_station	6	Station label (Station)	TARA_station	registered at PANGAEA, Data Publisher for Earth and Environmental Science (URI: https://www.pangaea.de/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
sampling_device	7	Method/Device of event (Method/Device)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_event	8	Event label (Event)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
date_time	9	Date/Time of event (Date/Time)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
latitude	10	Latitude of event (Latitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
longitude	11	Longitude of event (Longitude)	NA	NA	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
env_ontology	12	Environmental feature (Env feature)	[abbreviation], full name (ENVO:ID) from which this sample was collected	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth	13	Depth, nominal (Depth nominal)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth_min	14	Depth, top/min [m] (Depth top)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
depth_max	15	Depth, bottom/max [m] (Depth bot)	NA	from which this sample was collected	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_low	16	Size fraction, lower threshold [µm] (Fraction lower)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
size_frac_high	17	Size fraction, upper threshold [µm] (Fraction upper)	used on board to prepare samples	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id01	18	Sample material (Samp mat)	NA	TARA_station_environmental-feature_size-fraction	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id02	19	Sample method (Sample method)	short label describing the target analysis (BGC=biogeochemistry, IMG=imaging, SEQ=sequencing) and specifics of the methodology and sampling device (N=net, W=pump/bottles/bucket, CW=concentrated by tangential filtration)	described in Pesant et al. (2017)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
tara_id03	20	Sample code/label (Sample label)	NA	TARA_event-datetime_station_event-type_environmental-feature_(depth)_protocol-label_size-fraction_sample-barcode	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_021	21	Environmental feature (Env feature)	about the thickness of the layer that was sampled (e.g. discrete vs. vertical integration over a braod interval)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_022	22	Environmental feature (Env feature)	about the pelagic zone (e.g. epipelagic, mesopelagic or bathypelagic zone)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_023	23	Environmental feature (Env feature)	about the light environment (e.g. photic and/or aphotic zone)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_024	24	Environmental feature (Env feature)	about the oxygen environment (i.e. proximity to an oxygen minimum zone)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_025	25	Environmental feature (Env feature)	about the nutrient environment (i.e. proximity to a nutricline)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_026	26	Environmental feature (Env feature)	about the aggregation of photosynthetic organisms in the environment (i.e. proximity to a peak in fluorescence)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_027	27	Environmental feature (Env feature)	about vertical stratification in the environment (e.g. above or below the wind mixed layer depth)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_028	28	Environmental feature (Env feature)	about connectivity with the benthic environment (i.e. proximity to the sea floor)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_029	29	Environmental feature (Env feature)	about other information provided	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_030	30	Environmental feature (Env feature)	about the oxygen environment (i.e. presence of an oxygen minimum zone at the sampling location)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_031	31	Environmental feature (Env feature)	about the nutrient environment (i.e. presence of a nutricline at the sampling location)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_032	32	Environmental feature (Env feature)	about the aggregation of photosynthetic organisms in the environment (i.e. presence of a peak in fluorescence at the sampling location)	terms registered at EnvO, the Environmental Ontology (URI: http://environmentontology.org/)	Pesant, Stephane (https://orcid.org/0000-0002-4936-5209, pesant@ebi.ac.uk)
PANGAEA.875579_033	33	Diffuse attenuation coefficient at 490 nm [1/m] (Kd490)	at the sampling location and date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_034	34	Diffuse attenuation coefficient at 490 nm [1/m] (Kd490)	at the sampling location for a period of 8 days around the sampling date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_035	35	Diffuse attenuation coefficient at 490 nm [1/m] (Kd490)	at the sampling location for a period of 30 days around the sampling date	calculated from AMODIS products (URI: http://modis.gsfc.nasa.gov/)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
PANGAEA.875579_036	36	Diffuse attenuation coefficient at 490 nm [1/m] (Kd490)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (Morel's algorithm)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875579_037	37	Diffuse attenuation coefficient at 490 nm [1/m] (Kd490)	at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (Lee's algorithm)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875579_038	38	Backscattering coefficient of particles, 470 nm [1/m] (bbp470)	(443 nm) at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875579_039	39	Absorption coefficient, colored dissolved organic matter at given wavelength [1/m] (acCDOM)	(443 nm) at the sampling location for a period of 8 days around the sampling date	Calculated from GlobColour products (GSM algorithm) (URI: http://www.globcolour.info/products_description.html)	Ardyna, Mathieu (https://orcid.org/0000-0002-4703-6655, mathieuardyna@hotmail.com)
PANGAEA.875579_040	40	Diffuse attenuation coefficient of PAR [1/m] (Kd(PAR))	Kd(PAR)1 is calculated for a layer, which thickness is equal to [Kd(490)]?1	calculated from 30-day avg. Kd490 (AMODIS) using eq. 9 in Morel et al. (2007) (URI: https://doi.org/10.1016/j.rse.2007.03.012)	Chaffron, Samuel (https://orcid.org/0000-0001-5903-617X, samuel.chaffron@vib-kuleuven.be)
